

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
031.021  000.038  000.038: require('nvim-lsp-installer.dispatcher')
031.105  000.083  000.083: require('nvim-lsp-installer.core.process')
031.235  000.042  000.042: require('nvim-lsp-installer.core.ui')
031.326  000.038  000.038: require('nvim-lsp-installer.core.ui.state')
031.327  000.091  000.053: require('nvim-lsp-installer.core.ui.display')
031.399  000.071  000.071: require('nvim-lsp-installer.servers')
031.442  000.041  000.041: require('nvim-lsp-installer.jobs.pool')
031.521  000.038  000.038: require('nvim-lsp-installer.jobs.outdated-servers.version-check-result')
031.608  000.041  000.041: require('nvim-lsp-installer.core.spawn')
031.647  000.039  000.039: require('nvim-lsp-installer.core.optional')
031.689  000.041  000.041: require('nvim-lsp-installer.core.installer')
031.692  000.170  000.049: require('nvim-lsp-installer.core.managers.npm')
031.784  000.076  000.076: require('nvim-lsp-installer.core.managers.pip3')
031.829  000.044  000.044: require('nvim-lsp-installer.core.managers.git')
031.876  000.046  000.046: require('nvim-lsp-installer.core.managers.gem')
031.918  000.041  000.041: require('nvim-lsp-installer.core.managers.go')
032.114  000.062  000.062: require('nvim-lsp-installer.core.managers.powershell')
032.117  000.116  000.054: require('nvim-lsp-installer.core.fetch')
032.118  000.156  000.040: require('nvim-lsp-installer.core.managers.cargo.client')
032.120  000.202  000.046: require('nvim-lsp-installer.core.managers.cargo')
032.213  000.047  000.047: require('nvim-lsp-installer.core.managers.std')
032.257  000.043  000.043: require('nvim-lsp-installer.core.managers.github.client')
032.260  000.139  000.049: require('nvim-lsp-installer.core.managers.github')
032.305  000.043  000.043: require('nvim-lsp-installer.core.managers.composer')
032.381  000.039  000.039: require('nvim-lsp-installer.core.clients.eclipse')
032.382  000.076  000.038: require('nvim-lsp-installer.jobs.outdated-servers.jdtls')
032.435  000.052  000.052: require('nvim-lsp-installer.core.managers.luarocks')
032.438  000.995  000.068: require('nvim-lsp-installer.jobs.outdated-servers')
032.477  000.039  000.039: require('nvim-lsp-installer.jobs.version-check')
032.515  000.037  000.037: require('nvim-lsp-installer.ui.server_hints')
032.553  000.038  000.038: require('nvim-lsp-installer.ui.components.settings-schema')
032.557  001.451  000.097: require('nvim-lsp-installer.ui')
032.601  000.043  000.043: require('nvim-lsp-installer._generated.language_autocomplete_map')
032.663  000.061  000.061: require('nvim-lsp-installer._generated.filetype_map')
032.666  002.554  000.059: require('nvim-lsp-installer')
033.398  000.700  000.700: require('zephyr')
033.590  000.054  000.054: require('lualine_require')
033.816  000.342  000.288: require('lualine')
036.632  003.232  002.890: require('statusline.evil_lualine')
036.633  024.653  000.695: require('plugins.config')
036.937  000.040  000.040: require('which-key.util')
036.939  000.081  000.041: require('which-key.tree')
037.017  000.078  000.078: require('which-key.config')
037.021  000.217  000.058: require('which-key.keys')
037.023  000.270  000.053: require('which-key')
037.187  000.553  000.283: require('mappings')
037.394  028.793  000.296: sourcing /Users/liyang/.config/nvim/init.lua
037.410  002.305: sourcing vimrc file(s)
037.686  000.003  000.003: require('vim.F')
038.927  000.014  000.014: sourcing /Users/liyang/.local/share/nvim/site/pack/packer/start/commented.nvim/ftdetect/bicep.vim
038.969  000.006  000.006: sourcing /Users/liyang/.local/share/nvim/site/pack/packer/start/commented.nvim/ftdetect/grain.vim
039.012  000.006  000.006: sourcing /Users/liyang/.local/share/nvim/site/pack/packer/start/commented.nvim/ftdetect/imba.vim
039.052  000.007  000.007: sourcing /Users/liyang/.local/share/nvim/site/pack/packer/start/commented.nvim/ftdetect/jison.vim
039.096  000.010  000.010: sourcing /Users/liyang/.local/share/nvim/site/pack/packer/start/commented.nvim/ftdetect/mint.vim
039.137  000.007  000.007: sourcing /Users/liyang/.local/share/nvim/site/pack/packer/start/commented.nvim/ftdetect/ncl.vim
039.178  000.007  000.007: sourcing /Users/liyang/.local/share/nvim/site/pack/packer/start/commented.nvim/ftdetect/pony.vim
039.220  000.009  000.009: sourcing /Users/liyang/.local/share/nvim/site/pack/packer/start/commented.nvim/ftdetect/racket.vim
039.266  000.009  000.009: sourcing /Users/liyang/.local/share/nvim/site/pack/packer/start/commented.nvim/ftdetect/reason.vim
039.312  000.012  000.012: sourcing /Users/liyang/.local/share/nvim/site/pack/packer/start/commented.nvim/ftdetect/rescript.vim
039.356  000.009  000.009: sourcing /Users/liyang/.local/share/nvim/site/pack/packer/start/commented.nvim/ftdetect/rules.vim
039.399  000.009  000.009: sourcing /Users/liyang/.local/share/nvim/site/pack/packer/start/commented.nvim/ftdetect/sol.vim
039.443  000.009  000.009: sourcing /Users/liyang/.local/share/nvim/site/pack/packer/start/commented.nvim/ftdetect/wren.vim
039.503  000.010  000.010: sourcing /Users/liyang/.local/share/nvim/site/pack/packer/start/commented.nvim/ftdetect/yuck.vim
039.749  001.095  000.970: sourcing /opt/homebrew/Cellar/neovim/0.8.0/share/nvim/runtime/filetype.lua
039.807  000.013  000.013: sourcing /opt/homebrew/Cellar/neovim/0.8.0/share/nvim/runtime/filetype.vim
040.056  000.053  000.053: sourcing /opt/homebrew/Cellar/neovim/0.8.0/share/nvim/runtime/syntax/synload.vim
040.140  000.255  000.202: sourcing /opt/homebrew/Cellar/neovim/0.8.0/share/nvim/runtime/syntax/syntax.vim
041.586  000.100  000.100: sourcing /opt/homebrew/Cellar/neovim/0.8.0/share/nvim/runtime/plugin/gzip.vim
041.627  000.007  000.007: sourcing /opt/homebrew/Cellar/neovim/0.8.0/share/nvim/runtime/plugin/health.vim
042.221  000.100  000.100: sourcing /opt/homebrew/Cellar/neovim/0.8.0/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
042.323  000.662  000.561: sourcing /opt/homebrew/Cellar/neovim/0.8.0/share/nvim/runtime/plugin/matchit.vim
042.463  000.103  000.103: sourcing /opt/homebrew/Cellar/neovim/0.8.0/share/nvim/runtime/plugin/matchparen.vim
042.713  000.216  000.216: sourcing /opt/homebrew/Cellar/neovim/0.8.0/share/nvim/runtime/plugin/netrwPlugin.vim
042.889  000.008  000.008: sourcing /Users/liyang/.local/share/nvim/rplugin.vim
042.893  000.139  000.131: sourcing /opt/homebrew/Cellar/neovim/0.8.0/share/nvim/runtime/plugin/rplugin.vim
042.970  000.039  000.039: sourcing /opt/homebrew/Cellar/neovim/0.8.0/share/nvim/runtime/plugin/shada.vim
043.024  000.015  000.015: sourcing /opt/homebrew/Cellar/neovim/0.8.0/share/nvim/runtime/plugin/spellfile.vim
043.125  000.064  000.064: sourcing /opt/homebrew/Cellar/neovim/0.8.0/share/nvim/runtime/plugin/tarPlugin.vim
043.219  000.054  000.054: sourcing /opt/homebrew/Cellar/neovim/0.8.0/share/nvim/runtime/plugin/tohtml.vim
043.277  000.014  000.014: sourcing /opt/homebrew/Cellar/neovim/0.8.0/share/nvim/runtime/plugin/tutor.vim
043.397  000.084  000.084: sourcing /opt/homebrew/Cellar/neovim/0.8.0/share/nvim/runtime/plugin/zipPlugin.vim
043.920  000.029  000.029: sourcing /opt/homebrew/Cellar/neovim/0.8.0/share/nvim/runtime/plugin/man.lua
043.940  003.638: loading rtp plugins
044.829  000.044  000.044: sourcing /Users/liyang/.local/share/nvim/site/pack/packer/start/lspsaga.nvim/plugin/lspsaga.lua
045.135  000.048  000.048: require('cmp.utils.highlight')
045.297  000.233  000.185: sourcing /Users/liyang/.local/share/nvim/site/pack/packer/start/nvim-cmp/plugin/cmp.lua
045.485  000.052  000.052: sourcing /Users/liyang/.local/share/nvim/site/pack/packer/start/nvim-lsp-installer/plugin/nvim-lsp-installer.vim
045.770  000.038  000.038: sourcing /Users/liyang/.local/share/nvim/site/pack/packer/start/nvim-lspconfig/plugin/lspconfig.lua
045.919  000.021  000.021: sourcing /Users/liyang/.local/share/nvim/site/pack/packer/start/nvim-toggleterm.lua/plugin/toggleterm.vim
046.411  000.045  000.045: require('nvim-treesitter.info')
